,Rank,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTC,"$96,251.52",0.58%,0.53%,1.52%,"$1.9T$1,901,582,292,098","$61,471,255,349639,757 BTC","19,790,568 BTC",
,2,EthereumETH,"$3,807.65",2.71%,5.83%,7.77%,"$458.46B$458,459,144,585","$43,178,906,91911,343,548 ETH","120,441,990 ETH",
,3,XRPXRP,$2.57,0.48%,2.38%,77.59%,"$146.78B$146,783,982,944","$24,455,183,9829,505,156,373 XRP","57,051,491,087 XRP",
,4,TetherUSDT,$1.00,0.04%,0.06%,0.03%,"$135.1B$135,097,430,428","$210,422,013,791210,245,191,011 USDT","134,983,904,743 USDT",
,5,BNBBNB,$770.80,0.02%,19.91%,21.70%,"$111B$111,002,423,768","$6,231,038,4708,083,859 BNB","144,009,371 BNB",
,6,SolanaSOL,$234.47,1.72%,4.16%,1.94%,"$111.43B$111,431,651,224","$7,440,889,91831,734,440 SOL","475,241,677 SOL",
,7,DogecoinDOGE,$0.4139,0.59%,1.48%,3.58%,"$60.87B$60,871,030,774","$6,797,540,99916,422,509,079 DOGE","147,061,276,384 DOGE",
,8,CardanoADA,$1.20,0.34%,0.06%,19.85%,"$42.15B$42,145,218,874","$3,031,076,3242,523,370,283 ADA","35,085,884,197 ADA",
,9,USDCUSDC,$1.00,0.04%,0.02%,0.02%,"$40.15B$40,153,222,313","$11,827,247,87511,823,181,343 USDC","40,139,416,536 USDC",
,10,TRONTRX,$0.3523,4.35%,47.33%,74.78%,"$30.4B$30,397,781,349","$14,386,764,84540,838,350,413 TRX","86,287,310,585 TRX",
,11,AvalancheAVAX,$54.73,0.87%,9.04%,26.04%,"$22.4B$22,401,470,605","$1,768,604,58532,315,948 AVAX","409,319,731 AVAX",
